Date,Open,High,Low,Close,Volume,Normalized_Open,Normalized_High,Normalized_Low,Normalized_Close,Normalized_Volume,Target price,Diff_Target_AND_Close_Percent,Label
11/4/2000,1504.459961,1512.800049,1486.780029,1500.589966,971400000,-11.890015,-14.389892,-16.569947,-3.869995,117700000,1467.170044,-2.22711885,0
12/4/2000,1500.589966,1509.079956,1466.150024,1467.170044,1175900000,-3.869995,-3.720093,-20.630005,-33.419922,204500000,1440.51001,-1.817105939,0
13-04-00,1467.170044,1477.52002,1439.339966,1440.51001,1032000000,-33.419922,-31.559936,-26.810058,-26.660034,-143900000,1356.560059,-5.827793658,0
14-04-00,1440.51001,1440.51001,1339.400024,1356.560059,1279700000,-26.660034,-37.01001,-99.939942,-83.949951,247700000,1401.439941,3.308359383,3
17-04-00,1356.560059,1401.530029,1346.5,1401.439941,1204700000,-83.949951,-38.979981,7.099976,44.879882,-75000000,1441.609985,2.866340742,3
18-04-00,1401.439941,1441.609985,1397.810059,1441.609985,1109400000,44.879882,40.079956,51.310059,40.170044,-95300000,1427.469971,-0.980848783,1
19-04-00,1441.609985,1447.689941,1424.26001,1427.469971,1001400000,40.170044,6.079956,26.449951,-14.140014,-108000000,1434.540039,0.495286636,2
20-04-00,1427.469971,1435.48999,1422.079956,1434.540039,896200000,-14.140014,-12.199951,-2.180054,7.070068,-105200000,1429.859985,-0.326240737,1
24-04-00,1434.540039,1434.540039,1407.130005,1429.859985,868700000,7.070068,-0.949951,-14.949951,-4.680054,-27500000,1477.439941,3.327595464,3
25-04-00,1429.859985,1477.670044,1429.859985,1477.439941,1071100000,-4.680054,43.130005,22.72998,47.579956,202400000,1460.98999,-1.113409117,0
26-04-00,1477.439941,1482.939941,1456.97998,1460.98999,999600000,47.579956,5.269897,27.119995,-16.449951,-71500000,1464.920044,0.268999379,2
27-04-00,1460.98999,1469.209961,1434.810059,1464.920044,1111000000,-16.449951,-13.72998,-22.169921,3.930054,111400000,1452.430054,-0.852605577,1
28-04-00,1464.920044,1473.619995,1448.150024,1452.430054,984600000,3.930054,4.410034,13.339965,-12.48999,-126400000,1468.25,1.08920536,3
1/5/2000,1452.430054,1481.51001,1452.430054,1468.25,966300000,-12.48999,7.890015,4.28003,15.819946,-18300000,1446.290039,-1.49565544,0
2/5/2000,1468.25,1468.25,1445.219971,1446.290039,1011500000,15.819946,-13.26001,-7.210083,-21.959961,45200000,1415.099976,-2.15655658,0
3/5/2000,1446.290039,1446.290039,1398.359985,1415.099976,991600000,-21.959961,-21.959961,-46.859986,-31.190063,-19900000,1409.569946,-0.39078723,1
4/5/2000,1415.099976,1420.98999,1404.939941,1409.569946,925800000,-31.190063,-25.300049,6.579956,-5.53003,-65800000,1432.630005,1.635964151,3
5/5/2000,1409.569946,1436.030029,1405.079956,1432.630005,805500000,-5.53003,15.040039,0.140015,23.060059,-120300000,1424.170044,-0.590519602,1
8/5/2000,1432.630005,1432.630005,1417.050049,1424.170044,787600000,23.060059,-3.400024,11.970093,-8.459961,-17900000,1412.140015,-0.844704539,1
9/5/2000,1424.170044,1430.280029,1401.849976,1412.140015,896600000,-8.459961,-2.349976,-15.200073,-12.030029,109000000,1383.050049,-2.059991622,0
10/5/2000,1412.140015,1412.140015,1375.140015,1383.050049,1006400000,-12.030029,-18.140014,-26.709961,-29.089966,109800000,1407.810059,1.790246855,3
11/5/2000,1383.050049,1410.26001,1383.050049,1407.810059,953600000,-29.089966,-1.880005,7.910034,24.76001,-52800000,1420.959961,0.93406791,2
12/5/2000,1407.810059,1430.130005,1407.810059,1420.959961,858200000,24.76001,19.869995,24.76001,13.149902,-95400000,1452.359985,2.209775424,3
15-05-00,1420.959961,1452.390015,1416.540039,1452.359985,854600000,13.149902,22.26001,8.72998,31.400024,-3600000,1466.040039,0.941918955,2
16-05-00,1452.359985,1470.400024,1450.76001,1466.040039,955500000,31.400024,18.010009,34.219971,13.680054,100900000,1447.800049,-1.244167247,0
17-05-00,1466.040039,1466.040039,1441.670044,1447.800049,820500000,13.680054,-4.359985,-9.089966,-18.23999,-135000000,1437.209961,-0.731460674,1
18-05-00,1447.800049,1458.040039,1436.589966,1437.209961,807900000,-18.23999,-8,-5.080078,-10.590088,-12600000,1406.949951,-2.105468987,0
19-05-00,1437.209961,1437.209961,1401.73999,1406.949951,853700000,-10.590088,-20.830078,-34.849976,-30.26001,45800000,1400.719971,-0.442800399,1
22-05-00,1406.949951,1410.550049,1368.72998,1400.719971,869000000,-30.26001,-26.659912,-33.01001,-6.22998,15300000,1373.859985,-1.917584282,0
23-05-00,1400.719971,1403.77002,1373.430054,1373.859985,869900000,-6.22998,-6.780029,4.700074,-26.859986,900000,1399.050049,1.833524833,3
24-05-00,1373.859985,1401.75,1361.089966,1399.050049,1152300000,-26.859986,-2.02002,-12.340088,25.190064,282400000,1381.52002,-1.252995131,0
25-05-00,1399.050049,1411.650024,1373.930054,1381.52002,984500000,25.190064,9.900024,12.840088,-17.530029,-167800000,1378.02002,-0.253344139,1
26-05-00,1381.52002,1391.420044,1369.75,1378.02002,722600000,-17.530029,-20.22998,-4.180054,-3.5,-261900000,1422.449951,3.224186177,3
30-05-00,1378.02002,1422.449951,1378.02002,1422.449951,844200000,-3.5,31.029907,8.27002,44.429931,121600000,1420.599976,-0.130055542,1
31-05-00,1422.439941,1434.48999,1415.5,1420.599976,960500000,44.419921,12.040039,37.47998,-1.849975,116300000,1448.810059,1.985786532,3
1/6/2000,1420.599976,1448.810059,1420.599976,1448.810059,960100000,-1.839965,14.320069,5.099976,28.210083,-400000,1477.26001,1.963677076,3
2/6/2000,1448.810059,1483.22998,1448.810059,1477.26001,1162400000,28.210083,34.419921,28.210083,28.449951,202300000,1467.630005,-0.651882873,1
5/6/2000,1477.26001,1477.280029,1464.680054,1467.630005,838600000,28.449951,-5.949951,15.869995,-9.630005,-323800000,1457.839966,-0.667064517,1
6/6/2000,1467.630005,1471.359985,1454.73999,1457.839966,950100000,-9.630005,-5.920044,-9.940064,-9.790039,111500000,1471.359985,0.927400765,2
7/6/2000,1457.839966,1474.640015,1455.060059,1471.359985,854600000,-9.790039,3.28003,0.320069,13.520019,-95500000,1461.670044,-0.658570377,1
8/6/2000,1471.359985,1475.650024,1456.48999,1461.670044,854300000,13.520019,1.010009,1.429931,-9.689941,-300000,1456.949951,-0.322924659,1
9/6/2000,1461.670044,1472.670044,1454.959961,1456.949951,786000000,-9.689941,-2.97998,-1.530029,-4.720093,-68300000,1446,-0.751566723,1
12/6/2000,1456.949951,1462.930054,1445.98999,1446,774100000,-4.720093,-9.73999,-8.969971,-10.949951,-11900000,1469.439941,1.621019433,3
13-06-00,1446,1470.420044,1442.380005,1469.439941,935900000,-10.949951,7.48999,-3.609985,23.439941,161800000,1470.540039,0.074865122,2
14-06-00,1469.439941,1483.619995,1467.709961,1470.540039,929700000,23.439941,13.199951,25.329956,1.100098,-6200000,1478.72998,0.556934241,2
15-06-00,1470.540039,1482.040039,1464.619995,1478.72998,1011400000,1.100098,-1.579956,-3.089966,8.189941,81700000,1464.459961,-0.965018576,1
16-06-00,1478.72998,1480.77002,1460.420044,1464.459961,1250800000,8.189941,-1.270019,-4.199951,-14.270019,239400000,1486,1.470852026,3
19-06-00,1464.459961,1488.930054,1459.050049,1486,921700000,-14.270019,8.160034,-1.369995,21.540039,-329100000,1475.949951,-0.676315545,1
20-06-00,1486,1487.319946,1470.180054,1475.949951,1031500000,21.540039,-1.610108,11.130005,-10.050049,109800000,1479.130005,0.215458119,2
21-06-00,1475.949951,1482.189941,1468,1479.130005,1009600000,-10.050049,-5.130005,-2.180054,3.180054,-21900000,1452.180054,-1.822013678,0
